metric probe=1 mode=A elapsed_ms=134 rendered_bytes=412 expected_rank=1 top1=ov-kb-feeder
metric probe=2 mode=A elapsed_ms=130 rendered_bytes=344 expected_rank=2 top1=kb-graphify-tv
metric probe=3 mode=A elapsed_ms=127 rendered_bytes=430 expected_rank=1 top1=ov-kb-agentsmd
metric probe=4 mode=A elapsed_ms=127 rendered_bytes=410 expected_rank=1 top1=ov-fm-lock-clear
metric probe=5 mode=A elapsed_ms=137 rendered_bytes=426 expected_rank=1 top1=kb-graphify-tv
metric probe=5 mode=B elapsed_ms=133 rendered_bytes=423 expected_rank=1 top1=ov-kb-graphify
metric probe=5 mode=C elapsed_ms=125 rendered_bytes=174 expected_rank=1 top1=ov-kb-graphify
metric probe=6 mode=A elapsed_ms=119 rendered_bytes=260 expected_rank=1 top1=kb-feeder-vault-ship
metric probe=6 mode=B elapsed_ms=121 rendered_bytes=175 expected_rank=1 top1=ov-kb-feeder
metric probe=6 mode=C elapsed_ms=122 rendered_bytes=175 expected_rank=1 top1=ov-kb-feeder
metric probe=7 mode=A elapsed_ms=120 rendered_bytes=425 expected_rank=1 top1=fm-lock-clear-reclaim
metric probe=7 mode=B elapsed_ms=119 rendered_bytes=414 expected_rank=1 top1=ov-fm-lock-clear
metric probe=7 mode=C elapsed_ms=117 rendered_bytes=178 expected_rank=1 top1=ov-fm-lock-clear
metric probe=8 mode=A elapsed_ms=125 rendered_bytes=448 expected_rank=1 top1=kb-agentsmd-backpass
metric probe=8 mode=B elapsed_ms=127 rendered_bytes=444 expected_rank=1 top1=agentsmd-budget-2026-08-31
metric probe=8 mode=C elapsed_ms=122 rendered_bytes=350 expected_rank=1 top1=agentsmd-budget-2026-08-31
metric probe=9 mode=A elapsed_ms=120 rendered_bytes=453 expected_rank=1 top1=fm-fork-value-audit
metric probe=9 mode=B elapsed_ms=116 rendered_bytes=461 expected_rank=1 top1=fm-refuse-hooks-audit
metric probe=9 mode=C elapsed_ms=118 rendered_bytes=265 expected_rank=1 top1=fm-refuse-hooks-audit
metric probe=10 mode=A elapsed_ms=115 rendered_bytes=402 expected_rank=1 top1=ov-merge-slices
metric probe=11 mode=A elapsed_ms=118 rendered_bytes=470 expected_rank=1 top1=fm-drop-prcheck-migrate
metric probe=11 mode=B elapsed_ms=116 rendered_bytes=450 expected_rank=1 top1=fm-fork-drop-set-2026-09-01
metric probe=11 mode=C elapsed_ms=116 rendered_bytes=450 expected_rank=1 top1=fm-fork-drop-set-2026-09-01
metric probe=12 mode=A elapsed_ms=117 rendered_bytes=402 expected_rank=1 top1=ov-s3-s6-plan
metric probe=12 mode=B elapsed_ms=118 rendered_bytes=410 expected_rank=1 top1=ov-s3-s6-plan
metric probe=12 mode=C elapsed_ms=117 rendered_bytes=410 expected_rank=1 top1=ov-s3-s6-plan
metric probe=13 mode=A elapsed_ms=118 rendered_bytes=402 expected_rank=1 top1=fm-merge-slice-3
metric probe=13 mode=B elapsed_ms=118 rendered_bytes=408 expected_rank=1 top1=ov-s3-refresh
metric probe=13 mode=C elapsed_ms=117 rendered_bytes=408 expected_rank=1 top1=ov-s3-refresh
